Shop Name,Address,Contact,State,City,GST
Primary,0,Primary,Primary,Primary,
Momentus unisex salon,9911374418,E block krishna nagar near capital lab,Delhi,East delhi,
Unique Unisex Salon,0,"494H+MFV, Dhauladhar Colony, Nagrota Bagwan, Himachal Pradesh 176047, India",Punjab,Amritsar,
Roop shringar,9873335575,A18 near maan property lal bagh loni,Delhi,East delhi,
Anjali Beauty Parlour,9891128306,"D-418, Mandawali, West Vinod Nagar, Near Mahesh Hospital, Delhi- 110092",Uttar Pradesh,Noida,
Bs baba salon,0,Shaheen bagh okhla,Delhi,Delhi,
Z&U salon,97189 76242,Masjid moth south delhi,Delhi,Delhi,
Momentus  unisex salon,9911374418,E block krishna nagar near capital lab,Delhi,East delhi,
Primary,0,Primary,Primary,Primary,
DIVA MAKEUP STUDIO,81713 62523,Hapur Railway Road,Uttar Pradesh,Noida,
Headlines Pro Unisex Salon,9958205398,"F-82/2, F Block, Pocket F, Sector 20, Noida, Uttar Pradesh 201301",Uttar Pradesh,Noida,
Headlines Pro Unisex Salon,9958205398,"F-82/2, F Block, Pocket F, Sector 20, Noida, Uttar Pradesh 201301",Uttar Pradesh,Noida,
Unique Unisex Salon,9953335418,"21, Pan Osis, Noida, Uttar Pradesh 201301",Uttar Pradesh,Noida,
Black and blonde,0,"Shop no. A- 89, girja devi marg, near bhatiya chowk,kamla nagar delhi ",Delhi,Delhi,
Apt beauty care,9990121127,,Delhi,East delhi,
Aaina beauty parlour,8851221012,Central mkt ashok vihar phase 2,Delhi,East delhi,
Hair rituals salon,99978 68788,"Sector 10, faridabad ",Haryana,Faridabad,
The Bridal Dream Palace Makeup studio & Academy,7817835770,,Uttar Pradesh,Ghaziabad,
Hair expert unisex salon,7011535837,A 90 kamla nagar bhatia chowk near icici bank,Delhi,North delhi,
Women villa beauty care clinic,9312616131,BH 457 East opp. Miglani chemist shalimar bagh delhi 110088,Delhi,North delhi,
Divine beauty expert,817896781,BB 5A west shalimar bagh delhi,Delhi,North,
The Head Master Unisex  Sharik,81710 47421,Raj Nagar Ghaziabad,Uttar Pradesh,Ghaziabad,
Monaliza makeup studio and acedmy,9999486480,13/341 geeta colony delhi 31,Delhi,East delhi,
Juhi Auras,0,"PQHJ+XQX, Mani Pakka Bagh, Hapur, Uttar Pradesh 245101, India",Delhi,East Delhi,
Shraddha Singh Makeover,7827803844,"B9/707, Ecovillage 1, Bisarakh Jalalpur, Greater Noida West-201306",Uttar Pradesh,Noida,
Ajju salon,97111 07120,"Amar colony, lajpat nagar delhi ",Delhi,Delhi,
Pooja Makeup Studio,0,"Shop No. 2, FF, Central Market, AWHO Township, Greater Noida",Delhi,Delhi,
Dulhan makeup studio,0,"M79Q+9MV Gupta's 17/1B, Bholanath Nagar Marg, Bhola Nath Nagar, Pathan Pura, Shahdara, Delhi, 110032, India",Delhi,New Delhi,
The Hair Stores Unisex Salon,0,"JCC9+FV4, Gaur City 2, Ghaziabad, Chipyana Khurd Urf Tigri, Uttar Pradesh 201009, India",Delhi,Delhi,
